attendance,home_initial,vis_initial,score_starter_home,score_bench_home,score_starter_vis,score_bench_vis,recovery_time,perform,def_perf_home,off_perf_home,def_perf_vis,off_perf_vis,class,frac_season,day_hour,ref1,ref2,ref3,home_temp,travel_miles
17637,MIL,TOR,84.68414327306655,51.25511793448649,79.32961993457276,60.29500437062937,4.0,28.0,116.0,123.33333333333331,103.66666666666669,106.33333333333331,1,0.0625,20.0,Curtis Blair,James Capers Jr.,Jacyn Goble,31.52,432.1
15150,WAS,MIN,71.05118336210586,41.67647647647648,57.227609814832896,70.77941577319145,6.0,25.333333333333336,,,108.33333333333331,115.66666666666669,1,0.0625,20.0,Matt Boland,Ed Malloy,Jenna Schroeder,41.5,933.4
18064,GSW,CHO,37.44122807017544,75.72646500723533,60.02316534040672,61.70908108764165,4.0,20.666666666666668,113.66666666666669,102.33333333333331,103.0,102.33333333333331,0,0.0625,20.5,John Butler,Courtney Kirkland,Tom Washington,59.38,2302.1
19669,POR,PHI,70.66404639625478,52.12272261549926,66.60297833258359,59.82998875132804,6.0,10.666666666666668,,,114.0,117.0,1,0.0625,22.0,Mousa Dagher,John Goble,Tre Maddox,46.96,2411.9
17073,IND,CHI,54.85968469300105,44.43887561949854,62.07626373626374,59.06066579956372,4.0,18.333333333333336,103.0,106.66666666666669,110.0,101.33333333333331,0,0.06818181818181818,17.0,Scott Twardoski,Leon Wood,Sean Wright,40.08,251.1
19724,MIA,HOU,71.48527408757823,70.24448798977849,97.40984253869527,39.41319846866524,5.0,30.0,99.33333333333331,120.33333333333331,136.66666666666666,125.0,1,0.06818181818181818,18.0,Sean Corbin,Jonathan Sterling,Dedric Taylor,78.37,968.2
19812,NYK,SAC,67.58729209387104,42.34924377505683,79.63995726495726,45.85394701167107,4.0,21.33333333333333,109.66666666666669,97.33333333333331,109.66666666666669,96.33333333333331,0,0.06818181818181818,18.0,Marc Davis,Gediminas Petraitis,C.J. Washington,58.48,2505.9
18610,SAS,LAL,69.35806130708379,55.117406031240996,76.0387136672851,45.42647359654854,4.0,25.0,111.66666666666669,111.0,106.0,108.0,0,0.06818181818181818,19.0,Mark Ayotte,Scott Foster,Justin Van Duyne,57.24,1203.5
18078,CLE,DAL,73.76398305084746,28.708383838383842,78.07218908576417,44.6594591387885,4.0,21.666666666666664,113.66666666666669,112.66666666666669,111.0,121.0,1,0.06818181818181818,19.5,Suyash Mehta,Michael Smith,Bill Spooner,37.37,1025.9
19068,LAC,UTA,57.01159652690863,61.43438486244938,79.58822886615962,29.072547892720305,5.0,19.0,95.66666666666669,106.33333333333331,100.66666666666669,97.0,0,0.06818181818181818,21.0,Eric Lewis,Rodney Mott,Aaron Smith,62.32,579.4
13052,WAS,DET,72.80118336210586,46.32647647647648,60.52962701678442,40.33042521994136,4.0,21.666666666666664,129.66666666666666,127.33333333333331,117.33333333333331,106.0,0,0.07386363636363638,19.0,Tony Brown,Mark Lindsay,Natalie Sago,42.79,394.9
